title ,description ,ISBN10,ISBN13,publisher
"Big data analytics : systems, algorithms, applications","Big data.This book provides a comprehensive survey of techniques, technologies and applications of Big Data and its analysis. The Big Data phenomenon is increasingly impacting all sectors of business and industry, producing an emerging new information ecosystem. On the applications front, the book offers detailed descriptions of various application areas for Big Data Analytics in the important domains of Social Semantic Web Mining, Banking and Financial Services, Capital Markets, Insurance, Advertisement, Recommendation Systems, Bio-Informatics, the IoT and Fog Computing, before delving into issues of security and privacy. With regard to machine learning techniques, the book presents all the standard algorithms for learning - including supervised, semi-supervised and unsupervised techniques such as clustering and reinforcement learning techniques to perform collective Deep Learning. Multi-layered and nonlinear learning for Big Data are also covered. In turn, the book highlights real-life case studies on successful implementations of Big Data Analytics at large IT companies such as Google, Facebook, LinkedIn and Microsoft. Multi-sectorial case studies on domain-based companies such as Deutsche Bank, the power provider Opower, Delta Airlines and a Chinese City Transportation application represent a valuable addition. Given its comprehensive coverage of Big Data Analytics, the book offers a unique resource for undergraduate and graduate students, researchers, educators and IT professionals alike.",9811500932,978-9811500930,Singapore : Springer Singapore Pte. Limited
Information technology,"Readers for new literates. English language  Textbooks for foreign speakers. Reading comprehension  Problems, exercises, etc. Reading comprehension. It is hard to imagine the modern world without information technology. At home, at work, and at play, mobile phones, emails, and computers have become part of daily life. The story of information technology is a story of machines - from the ancient abacus to the small powerful computer chips of today. But it is also a story of people. Meet a woman who wrote computer programs two hundred years ago, a teenage millionaire, a man who began with a paperclip and ended with a house - and meet the criminals who want your name and your money. Come and discover the world of information technology.",194233928,978-0194233927,New York : Oxford University Press
Information technology,Information technology Vocational guidance. Electronic data processing personnel  Vocational guidance. COMPUTERS Reference. COMPUTERS Machine Theory.Computer Literacy. Information Technology.  Data Processing.  Computer Science. Hardware -- General.Computer programmer Database administrator Computer systems analyst Computer software engineer Computer repair technician Cyber security specialist Network administrator Systems engineer Forensic computing specialist.,1438128452,978-1438128450,"New York : Ferguson, 2009."
Information technology,"Information technology Handbooks, manuals, etc. Information technology.CHAPTER 1 : LIBRARY AUTOMATION SOFTWARE; CHAPTER 2 : LIBRARY AND INFORMATION SCIENCE ABSTRACT; CHAPTER 3 : INTERNET; CHAPTER 4 : DESIGNING A WEB PAGE; CHAPTER 5 : OBJECTIVE QUESTION BANK.",9350431823,978-9350431825,New Delhi : Himalaya Pub. House
Information technology for management : transforming organizations in the digital economy,"Management information systems. Management Information Systems Information technology. Management informatiesystemen. Informatietechnologie. software hardware information technology  enterprises  information system computer network electronic commerce electronic marketing application management knowledge management Data Warehousing data mining software hardwarePart I Understanding Information Systems that Support Organizational Performance 1 Information Systems in the 2010s 1 2 IT Infrastructure and Support Systems 30 Part II Data and Network Infrastructure 3 Data, Text, and Document Management 56 4 Network Management and Mobility 91 5 IT Security, Crime, Compliance, and Continuity 120 Part III Web, Wireless, and Social Media Strategies 6 E-Business and E-Commerce 156 7 Mobile Computing and Commerce 189 8 Web 2.0 and Social Media 218 Part IV Operational and Enterprise Systems and Processes 6 E-Business and E-Commerce 156 7 Mobile Computing and Commerce 189 8 Web 2.0 and Social Media 218 9 Operational Planning and Control Systems 255 10 Enterprise Information Systems 283 11 Business Intelligence and Decision Support 321 Part V Managing IT, Business Processes, and Social/Ecology Responsibility 12 IT Strategic Planning 358 13 Business Process Management and Systems Development 389 14 Global Ecology, Ethics, and Social Responsibility",1118092252,978-1118092255,Hoboken (NJ) : J. Wiley
"E-commerce : business, technology, society","Electronic commerce. Internet marketing. Information technology. Commerce électronique. Marketing sur Internet. Technologie de l'information. information technology.PART 1: INTRODUCTION TO E-COMMERCE The Revolution Is Just Beginning E-commerce Business Models and Concepts PART 2: TECHNOLOGY INFRASTRUCTURE FOR E-COMMERCE E-commerce Infrastructure: The Internet, Web, and Mobile Platform Building an E-commerce Presence: Websites, Mobile Sites, and Apps E-commerce Security and Payment Systems PART 3: BUSINESS CONCEPTS AND SOCIAL ISSUES E-commerce Marketing and Advertising Concepts Social, Mobile, and Local Marketing Ethical, Social, and Political Issues in E-commerce PART 4: E-COMMERCE IN ACTION Online Retail and Services Online Content and Media Social Networks, Auctions, and Portals B2B E-commerce: Supply Chain Management and Collaborative Commerce",1292409312,978-1292409313,"Harlow, Essex : Pearson"
Business intelligence : making decisions through data analytics,"Business intelligence. Management information systems. Decision making.This book is about using business intelligence as a management information system for supporting managerial decision making. It concentrates primarily on practical business issues and demonstrates how to apply data warehousing and data analytics to support business decision making. This book progresses through a logical sequence, starting with data model infrastructure, then data preparation, followed by data analysis, integration, knowledge discovery, and finally the actual use of discovered knowledge. All examples are based on the most recent achievements in business intelligence. Finally this book outlines an overview of a methodology that takes into account the complexity of developing applications in an integrated business intelligence environment. This book is written for managers, business consultants, and undergraduate and postgraduates students in business administration. 1. An introduction to business intelligence 2. The data warehouse 3. The basics of business analysis 4. Advanced business analysis 5. Customer intelligence 6. Business intelligence and value-based management Conclusion.",178034418X,978-1780344188,New York [N.Y.] : Business Expert Press
Mastering Microsoft Power BI : Expert techniques for effective data analytics and business intelligence,"Information visualization. Operational research. Enterprise software. Computers  Enterprise Applications General. Computers  Enterprise Applications  Business Intelligence Tools. REFERENCE  Questions & Answers.This book will show you how to use Power BI effectively to create a variety of visualizations and BI dashboards. Right from gathering data through various data sources, you will learn to perform effective visual analytics. By the end of this book, you will be able to gain unique, hidden insights into your data using Microsoft Power BI. Chapter 1: Planning Power BI Projects; Power BI deployment modes; Corporate BI; Self-Service Visualization; Self-Service BI; Choosing a deployment mode; Project discovery and ingestion; Sample Power BI project template ; Sample template Adventure Works BI; Power BI project roles; Dataset designer; Report authors; Power BI admin; Project role collaboration; Power BI licenses; Power BI license scenarios; Power BI Premium features; Data warehouse bus matrix; Dataset design process. Selecting the business processDeclaring the grain; Identifying the dimensions; Defining the facts; Data profiling; Dataset planning; Data transformations; Import versus DirectQuery; Import mode ; DirectQuery mode; Sample project analysis; Summary; Chapter 2: Connecting to Sources and Transforming Data with M; Query design per dataset mode; Import mode dataset queries; DirectQuery dataset queries; Data sources; Authentication; Data source settings; Privacy levels; Power BI as a data source; Power BI Desktop options; Global options; CURRENT FILE options; SQL views; SQL views versus M queries. SQL view examplesDate dimension view; Mark As Date Table; Product Dimension view; Slowly-changing dimensions; M queries; Data Source Parameters; Staging Queries; DirectQuery staging; Fact and dimension queries; Source Reference Only; M query summary; Excel workbook Annual Sales Plan; Data types; Item access in M; DirectQuery report execution; Bridge Tables Queries; Parameter Tables; Security Tables; Query folding; Partial query folding; M Query examples; Trailing three years filter; Customer history column; Derived column data types; Product dimension integration; R script transformation. M editing toolsAdvanced Editor; Visual Studio Code; Visual Studio; Summary; Chapter 3: Designing Import and DirectQuery Data Models; Dataset layers; Dataset objectives; Competing objectives; External factors; The Data Model ; The Relationships View; The Data View; The Report View; Fact tables; Fact table columns; Fact column data types; Fact-to-dimension relationships; Dimension tables; Hierarchies; Custom sort; Bridge tables; Parameter tables; Measure groups; Last refreshed date; Measure support logic; Relationships; Uniqueness ; Ambiguity; Single-direction relationships; Direct flights only. Bidirectional relationshipsShared dimensions; Date dimensions ; The CROSSFILTER function; Model metadata; Visibility; Column metadata; Default Summarization; Data format; Data category; Field descriptions; Optimizing performance; Import; Columnar compression; Memory analysis via DMVs; DirectQuery ; Optimized DAX functions; Columnstore and HTAP; Summary; Chapter 4: Developing DAX Measures and Security Roles; DAX measures; Filter context; SQL equivalent; Measure evaluation process; Row context; Scalar and table functions; The CALCULATE() function; Related tables; The FILTER() function.",1788292286,978-1788292283,Birmingham : Packt Publishing
Big Data Analytics : Applications in Business and Marketing,"1. Embrace the Data Analytics Chase: A Journey from Basics to Business. 2. Big Data Analytics and Algorithm. 3. Market Basket Analysis: An Effective Data Mining Technique for Anticipating Consumer Purchase Behavior. 4. Customer View--Variation in Shopping Patterns. 5. Big Data Analytics for Market Intelligence. 6. Advancements and Challenges in Business Applications of SAR Images. 7. Exploring Quantum Computing to Revolutionize Big Data Analytics for Various Industrial Sectors. 8. Evaluation of Green Degree of Reverse Logistic of Waste Electrical Appliances. 9. Nonparametric Approach of Comparing Company Performance: A Grey Relational Analysis. 10. Applications of Big Data Analytics in Supply-Chain Management. 11. Evaluation Study of Churn Prediction Models for Business Intelligence. 12. Big Data Analytics for Market Intelligence. 13. Demistifying the Cult of Data Analytics for Consumer Behavior: From Insights to Applications.The book explores data analytics concepts and applications in marketing and business. Business and marketing analytics can create value by guiding how organizational resources are optimally allocated and managed. Covering both predictive and prescriptive analysis, the book discusses optimization techniques for stronger business performance.",1000523551,978-1000523553,"Milton : Auerbach Publishers, Incorporated"
Data analytics for business : foundations and industry applications,"Business Data processing. Data mining. Exploration de données Informatique Exploration de données InformatiqueApplications industrielles. BUSINESS & ECONOMICS General BUSINESS & ECONOMICS Decision-Making & Problem Solving BUSINESS & ECONOMICS  Management ScienceData analytics underpin our modern data-driven economy. This textbook explains the relevance of data analytics at the firm and industry levels, tracing the evolution and key components of the field, and showing how data analytics insights can be leveraged for business results. The first section of the text covers key topics such as data analytics tools, data mining, business intelligence, customer relationship management and cybersecurity. The chapters then take an industry focus, exploring how data analytics can be used in particular settings to strengthen business decision-making. A range of sectors are examined, including financial services, accounting, marketing, sport, health care, retail, transport and education. With industry case studies, clear definitions of terminology, and no background knowledge required, this text supports students in gaining a solid understanding of data analytics and its practical applications. PowerPoint slides, a test bank of questions, and an instructor manual are also provided as online supplements. This will be a valuable text for undergraduate level courses in data analytics, data mining, business intelligence and related areas",1003129358,978-1003129356,"New York, NY : Routledge"
