title ,description ,ISBN10,ISBN13,publisher 
"Essential quantitative methods for business, management, and finance",Business mathematics. Finance  Mathematical models.PART I: MATHEMATICAL APPLICATIONS1. Revision Mathematics2. Keeping up with Change: Index NumbersPART II: COLLECTING AND INTERPRETING DATA.3. Collecting Data: Surveys and Samples.4. Finding Patterns in Data: Charts and Tables5. Making Sense of Data: Averages and Measures of SpreadPART III: PROBABILITY& STATISTICS.6. Taking a Chance: Probability7. The Shape of Data: Probability Distributions8. Interpreting with Confidence: Analysis of Sample Data9. Checking Ideas: Testing a Hypothesis.10. Cause and Effect: Correlation and RegressionPART IV: DECISION MAKING TECHNIQUES11. How to make Good Decisions12. Choosing wisely: Investment Appraisal13. Forecasting: Time Series Analysis14. Making the Most of Things: Linear Programming15. Planning Large Projects: Network Analysis.,1352005697,978-1352005691,London : Red Globe Press
Analytical models for decision making,"Health services administration  Decision making. Health services administration Decision making Mathematical models. Decision Making, Organizational Health Services Administration Decision Support Techniques Models, Theoretical MEDICAL Administration. MEDICAL Practice Management & Reimbursement. Openbare gezondheidszorg. Besluitvorming.Health care systems are complex and, as a result, it is often unclear what the effects of changes in policy or service provision might be. At the same time, resources for health care tend to be in short supply, which means that public health practitioners have to make difficult decisions. This book describes the quantitative and qualitative methods that can help decision-makers to structure and clarify difficult problems and to explore the implications of pursuing different options. The accompanying CD ROM provides the opportunity to try out some of the proposed solutions. The book examines: models and decision-making in health care; methods for clarifying complex decisions; models for service planning and resource allocation; and, modelling for evaluating changes in systems.",335227732,978-0335227730,Maidenhead : Open University 
Best practices in quantitative methods,"Social sciences -- Research -- Methodology. Social sciences -- Mathematical models. 70.03 methods, techniques and organization of social science research. Quantitative Methode Sozialwissenschaften Sociaal-wetenschappelijk onderzoek. Kwantitatieve methoden. Quantitative Methode. Sozialwissenschaften.Introduction Using Best Practices in Research is an ethical obligation. Jason Osborne  1. The new stats: Attitudes for the twenty-first century Fiona Fidler and Geoff Cumming, LaTrobe University  PART I: BEST PRACTICES IN MEASUREMENT 2. Using criterion-referenced assessments for setting standards andÿmaking decisions: Some conceptual and technical issues Thomas Kellow and Victor Willson 3. Estimating inter-rater reliability: Assumptions and implications of three common approaches Steve Stemler 4. An introduction to Rasch Measurement Cherdsak Iramaneerat, Everett V. Smith, Jr., and Richard M. Smith 5. Applications of the Multi-Faceted Rasch Model -- Edward W. Wolfe and Lidia Dobria 6. Best Practices in Exploratory Factor Analysis Jason W. Osborne, Anna B. Costello, and J. Thomas Kellow PART II: SELECTED BEST PRACTICES IN RESEARCH DESIGN  7. A Rational Foundation for Scientific Decisions: the case for the Probability of replication statistic Peter Killeen. 8. Best practices in Mixed Methods research Jessica DeCuir  9. Designing a Rigorous Small-Sample Study  Naomi Jeffery Petersen 10. Replication in field studies William Shafer 11. Best practices in ANCOVA may mean not using ANCOVA: Why paired subjects designs are a better choice Elizabeth Stuart and Donald Rubin  12. Fixed and Mixed Effects Models in Meta-Analysis  Spyros Konstantopoulos  PART III: BEST PRACTICES IN DATA CLEANING AND THE BASICS OF DATA ANALYSIS  13. Best Practices in data transformations: The overlooked effect of minimum values Jason W. Osborne 14. Best Practices in data cleaning: How Outliers can increase error rates and decrease the quality and precision of your results Jason W. Osborne, and Amy Overbay  15. How to deal with missing data Jason C. Cole 16. Is Disattenuation of effects a best practice? Jason W. Osborne, 17. Computing and interpreting effect sizes, confidence intervals, and confidence intervals for effect sizes Bruce Thompson  18. Robust methods for detecting associations Rand Wilcox  PART IV: BEST PRACTICES QUANTITATIVE METHODS  19. Resampling: A conceptual and procedural introduction Chong Ho Yu  20. Creating Valid Prediction Equations in Multiple Regression: Shrinkage, double cross-validation, and confidence intervals around predictions Jason W. Osborne  21. Using Poisson Regression to Analyze Count Data  E. Michael Nussbaum, Sherif Elsadat and Ahmed Khago  22. Testing the assumptions of Analysis of variance Yanyan Sheng 23. Best practices in ANOVA  David Howell  24. Logistic regression in the social sciences Jason King 25. Bringing balance and accuracy to odds ratios Jason Osborne 26. Advanced Topics in Logistic Regression: Polytomous Response Variables -- Carolyn Anderson and Leslie Rutkowski. 27. Enhancing Accuracy in Research Using Regression Mixture Analysis  Cody Ding  28. Mediation, Moderation, and the Study of Individual Differences  A. Alexander Beaujean PART V: BEST ADVANCED PRACTICES QUANTITATIVE METHODS  29. Hierarchical Linear Modeling: What it is and when researchers should use it. Jason W. Osborne 30. Analysis of longitudinal data: Advantages of Hierarchical Linear Modeling and growth curve analysis over repeated measures ANOVA  Frans Tan  31. Analysis of Moderator effects in Meta-Analysis  Wolfgang Viechtbauer  32. Best practices in Structural Equation Modeling Ralph Mueller and Gregory Hancock 33. Introduction to Bayesian estimation for social scientists Gianluca Biao and Marta Blangiardo  34. Using R for Data Analysis:A Best Practice for Research Ken Kelley, Keke Lai, and Po-Ju Wu.",1412940656,978-1412940658,"Thousand Oaks, Calif"
Business Analytics for Decision Making,"Decision making -- Statistical methods. Decision making -- Data processing. Management -- Statistical methods. Prise de décision -- Méthodes statistiques. Prise de décision -- Informatique. Gestion -- Méthodes statistiques.Business Analytics for Decision Making, the first complete text suitable for use in introductory Business Analytics courses, establishes a national syllabus for an emerging first course at an MBA or upper undergraduate level. This timely text is mainly about model analytics, particularly analytics for constrained optimization. It uses implementations that allow students to explore models and data for the sake of discovery, understanding, and decision making.Business analytics is about using data and models to solve various kinds of decision problems. There are three aspects for those who want to make the most of their analytics: encoding, solution design, and post-solution analysis. This textbook addresses all three. Emphasizing the use of constrained optimization models for decision making, the book concentrates on post-solution analysis of models. The text focuses on computationally challenging problems that commonly arise in business environments. Unique among business analytics texts, it emphasizes using heuristics for solving difficult optimization problems important in business practice by making best use of methods from Computer Science and Operations Research. Furthermore, case studies and examples illustrate the real-world applications of these methods. The authors supply examples in Excel GAMS, MATLAB and OPL. The metaheuristics code is also made available at the book's website in a documented library of Python modules, along with data and material for homework exercises. From the beginning, the authors emphasize analytics and de-emphasize representation and encoding so students will have plenty to sink their teeth into regardless of their computer programming experience.",1315362597,978-1315362595,Boca Raton
Customer and business analytics applied data mining for business decision making using R,"Database marketing. Data mining. Decision making ; Data processing. R Computer program language Database management. Electronic books ; local. Electronic books.Customer and Business Analytics: Applied Data Mining for Business Decision Making Using R explains and demonstrates, via the accompanying open-source software, how advanced analytical tools can address various business problems. It also gives insight into some of the challenges faced when deploying these tools. Extensively classroom-tested, the tex.",1145029005,978-1466503984,Boca Raton
Business analytics,Decision making -- Mathematical models. Industrial management -- Statistical methods -- Computer programs. Decision making -- Computer programs.1. Introduction.2. Descriptive Statistics.3. Data Visualization.4. Probability: An Introduction to Modeling Uncertainty.5. Descriptive Data Mining.6. Statistical Inference.7. Linear Regression.8. Time Series Analysis and Forecasting.9. Predictive Data Mining.10. Spreadsheet Modeling.11. Monte Carlo Simulation.12. Linear Optimization Models.13. Integer Linear Optimization Models.14. Nonlinear Optimization Models.15. Decision Analysis.Appendix A: Basics of Excel.Appendix B: Database Basics with Microsoft Access.Appendix C: Solutions to Even-Numbered Questions online.,357131908,978-0357131909,Boston : Cengage Learning
Data driven decision making using analytics,"Decision making. Big data. COMPUTERS  Database Management  Data Mining COMPUTERS Programming Systems Analysis & Design TECHNOLOGY ElectricityThis book aims to explain Data Analytics towards decision making in terms of models and algorithms, theoretical concepts, applications, experiments in relevant domains or focused on specific issues. It explores the concepts of database technology, machine learning, knowledge-based system, high performance computing, information retrieval, finding patterns hidden in large datasets and data visualization. Also, it presents various paradigms including pattern mining, clustering, classification, and data analysis. Overall aim is to provide technical solutions in the field of data analytics and data mining. Features: Covers descriptive statistics with respect to predictive analytics and business analytics. Discusses different data analytics platforms for real-time applications. Explain SMART business models. Includes algorithms in data sciences alongwith automated methods and models. Explores varied challenges encountered by researchers and businesses in the realm of real-time analytics. This book aims at researchers and graduate students in data analytics, data sciences, data mining, and signal processing",1003199402,978-1003199403,Boca Raton
Managerial Decision Modeling : Business Analytics with Spreadsheets,"Management science. Management Mathematical models. Produktform Electronic book text Zielgruppe Fachpublikum Wissenschaft BISAC Subject Heading BUS019000 BISAC Subject HeadingBUS041000: BUS041000 BUSINESS & ECONOMICS  ManagementThis book fills a void for a balanced approach to spreadsheet-based decision modeling. In addition to using spreadsheets as a tool to quickly set up and solve decision models, the authors show how and why the methods work and combine the user's power to logically model and analyze diverse decision-making scenarios with software-based solutions. The book discusses the fundamental concepts, assumptions and limitations behind each decision modeling technique, shows how each decision model works, and illustrates the real-world usefulness of each technique with many applications from both profit and nonprofit organizations. The authors provide an introduction to managerial decision modeling, linear programming models, modeling applications and sensitivity analysis, transportation, assignment and network models, integer, goal, and nonlinear programming models, project management, decision theory, queuing models, simulation modeling, forecasting models and inventory control models.",1501506315,978-1501506208,Boston ; Berlin : De|G Press
Business Analytics for Managers,"Statistics.The practice of business is changing. More and more companies are amassing larger and larger amounts of data, and storing them in bigger and bigger data bases. Consequently, successful applications of data-driven decision making are plentiful and increasing on a daily basis. This book will motivate the need for data and data-driven solutions, using real data from real business scenarios. It will allow managers to better interact with personnel specializing in analytics by exposing managers and decision makers to the key ideas and concepts of data-driven decision making. Business Analytics for Managers conveys ideas and concepts from both statistics and data mining with the goal of extracting knowledge from real business data and actionable insight for managers. Throughout, emphasis placed on conveying data-driven thinking. While the ideas discussed in this book can be implemented using many different software solutions from many different vendors, it also provides a quick-start to one of the most powerful software solutions available. The main goals of this book are as follows: · To excite managers and decision makers about the potential that resides in data and the value that data analytics can add to business processes. · To provide managers with a basic understanding of the main concepts of data analytics and a common language to convey data-driven decision problems so they can better communicate with personnel specializing in data mining or statistics.",1461404061,978-1461404064,"New York, NY : Springer New York"
"Big data, mining, and analytics : components of strategic decision making","Strategic planning  Data processing. Data mining. Big data. Business planning  Data processing. Webometrics. Data loggers. BUSINESS & ECONOMICS Industrial Management. BUSINESS & ECONOMICS Management. BUSINESS & ECONOMICS Management Science. BUSINESS & ECONOMICS  Organizational Behavior.Front Cover; Contents; Foreword; About the Author; Contributors; Chapter 1: Introduction to the Big Data Era; Chapter 2: Information Creation through Analytics; Chapter 3: Big Data Analytics-Architectures, Implementation Methodology, and Tools; Chapter 4: Data Mining Methods and the Rise of Big Data; Chapter 5: Data Management and the Model Creation Process of Structured Data for Mining and Analytics; Chapter 6: The Internet: A Source of New Data for Mining in Marketing; Chapter 7: Mining and Analytics in E-Commerce; Chapter 8: Streaming Data in the Age of Big Data. Chapter 9: Using CEP for Real-Time Data MiningChapter 10: Transforming Unstructured Data into Useful Information; Chapter 11: Mining Big Textual Data; Chapter 12: The New Medical Frontier:Real-Time Wireless Medical Data Acquisition for 21st-Century Healthcare and Data Mining Challenges; Back Cover.",1466568704,978-1466568709,"Boca Raton : CRC Press, Taylor and Francis"
