title ,description ,ISBN10,ISBN13,publisher 
Winning at technological innovation,Technological innovations. Forschung und Entwicklung Technischer Fortschritt Unternehmen Innovations. Technological innovationsThe innovation process and management style The innovation process Management style and the R & D manager's environment Technical management activities Planning activities Implementation Leadership activities Control activities Methods and techniques Techniques to facilitate planning activities Techniques for implementation activities Effective communication techniques Measuring profitability as one control activity.,70195137,978-0070195134,New York : McGraw-Hill
Regulating technological innovation : a multidisciplinary approach,"Introduction; M.A.Heldeweg & E.Kica PART I: GENERAL ANALYSIS OF THE REGULATION AND TECHNOLOGICAL INNOVATION RELATIONSHIP Regulation for Innovation: a Comparative Inquiry into a Regulatory Pair of Twins; A.Brack Regulation, Technological Innovation and the Roots of Comparative Advantage; S.Donnelly Legal Design of Smart Rules & Regimes: Regulating Innovation; M.Heldeweg Regulating Technological Innovation Through Informal International Law: the Exercise of International Public Authority by Transnational Actors; R.Wessel PART II: SPECIFIC EXEMPLARY AREAS AND CONNECTED ISSUES OF REGULATING TECHNOLOGICAL INNOVATION The Unlikely Emergence of Next Generation Networks in the Light of Prevailing Tele-com Regulation; L.Broos Deutsche Telekom and Pacific Bell v LinkLine: Does Competition Law Have a Place in Regulated Industries? M.Holterman Is Europe Turning into a 'Technological Fortress Innovation and Technology for the Management of EU's External Borders: Reflections on FRONTEX and EUROSUR; L.Marin Regulating Public-private Modalities for Organising Technological Innovations in the Energy Sector; M.Sanders PART III: EMERGING TECHNOLOGIES AND TECHNOLOGY INNOVATION: REGULATORY ISSUES, ACTORS AND PATENTS Transnational Regulation of Nanotechnology: Institutional Diversity in Agenda Setting and State Support; N.Chowdhury The European Patent System: Emerging Technologies, the Patent Quality Challenge and Mechanisms to Deal with it; E.Kica Regulatory and Policy Impact on the Use of Existing Patents to Enhance Technological Innovation in the Single Market of the European Union; V.Rodriguez Conclusion; M.Heldeweg & E.Kica",1349349054,978-1349349050,Palgrave Macmillan
Managing technological innovation : tools and methods,"Organizational change.Technological innovations. BUSINESS & ECONOMICS Industrial Management. BUSINESS  ECONOMICS Management. BUSINESS  ECONOMICS  Management Science. BUSINESS & ECONOMICS Organizational Behavior.The management of technological innovation is both an art, as well as a science; the process involves the know-how and technological core skills to deliver the functionality on the one hand, and (with an ear on the ground) the ability to identify changes in technologies to come up with new innovations on the other. This requires, as a result, frameworks, system tools, and methodologies to improve the yield in innovations. Managing Technological Innovation provides a set of tools and case studies for R & D managers to effectively manage technological innovations -- from the identifying of technological needs to the launch of the product. The book is divided into five parts. Part 1 addresses the policies and strategies necessary to provide direction to R & D organizations in the management of technological innovation. Part 2 focuses on technological assessment; presenting the methods available to better matching of technologies to strategic directions, supported with case studies to illustrate the evaluation methods. Part 3 covers the development and building of technological portfolios with new products, as well as mitigation strategies. Part 4 focus on the execution phase of built portfolios -- the development of new products. And finally, Part 5 rounds up with a study on the factors which impact the diffusion of technological innovations into the market place. This book is a practical guide for R & D professions and designers, as well as a case study reference for graduate students in pursuit of their project work.",9813207272,978-9813207271,New Jersey : World Scientific
Technological innovation,"Introduction and Historical EvolutionAcknowledgementsWhat is Innovation Commercial vs Non-Commercial InnovationInnovation and Economic GrowthDiscovery, Invention, and InnovationThe Pathway to InnovationStages of InnovationThe Valley of DeathWaves of InnovationThe Innovation EcosystemResearch & Technology OrganizationsInnovation Inputs, Outputs, Outcomes, and ImpactsInputs and OutputsOutcomes and ImpactsCurrent Trends in InnovationConclusionFiguresTablesAbout the AuthorReferences",471036471,978-0471036470,"New York, 1979"
The idea of technological innovation : a brief alternative history,"Contents: Introduction 1. Prehistory PART I Technological Innovation 2. Innovation as Science Applied 3. Innovation as Outcome 4. Innovation as Process 5. Innovation as System PART II From Idea to Action 6. Inventing Innovation Policy 7. Innovation Policy Today Conclusion IndexThis timely book explores technological innovation as a concept, dissecting its emergence, development and use. Benoît Godin offers an exciting new historiography of the subject, arguing that the study of innovation originates not from scholars but from practitioners of innovation. Godin looks to engineers, managers, consultants and policy-makers as the instigators of our current understanding of technological innovation. Offering a conceptual history of the subject, Part I considers the many iterations of innovation - as an science applied, outcome, process and system - to track and analyse the changing discourses surrounding technological innovation. In Part II, the author turns to historic and contemporary innovation policy to illustrate the critical role that practitioners have had in formulating and strategizing policy. Effectively rewriting the historiography of the topic, this book is critical reading for scholars of innovation studies, sociology and the history of science and technology. Students will benefit from Godin's pioneering approach to the subject and policymakers will also find value in the book's unique insight into innovation",1839104015,978-1839103995,Edward Elgar Publishing
Technological innovation and multinational corporations,Historical trends in international patterns of technological innovation; a dynamic model of the post-war growth of international economic activity in Europe and the USA; the evolution of technological competition between US and European firms; technological advantage as a determinant of the international economic activity of firms; technological competition and intra-industry production in the industrialised world; a classical model of the impact of international trade and production on national industrial growth; towards and evolutionary theory of international production.,631138471,978-0631138471,Oxford : Blackwell
International business and technological innovation,Technological innovations. International economic relations. International economic relations Technological innovations,444007156,978-0444007155,New York : North-Holland
Innovation management and new product development,"Part 1 Innovation management 1. Innovation management: an introduction 2. National systems of innovation and entrepreneurship 3. Public sector innovation 4. Managing innovation within firms 5. Operations and process innovation Part 2 Turning technology intobusiness 6. Managing intellectual property 7. Managing organisational knowledge 8. Strategic alliances and networks 9. Management of research and development 10. Open innovation and technology transfer Part 3 New product development 1. Business models 2. Market adoption and technologydiffusion 3. New product development 4. Market research and its influence onnew product development5. Managingthe new product development process IndexIt is designed to be accessible and readable. The book emphasises the need to view innovation as a management process. We need to recognise that change is at the heart of it. And that change is caused by decisions that people make. The framework in Chapter 1 (Figure 1.9) attempts to capture the iterative nature of the network processes in innovation and represents this in the form of an endless innovation circle with interconnected cycles. This circular concept helps to show how the firm gathers information over time, how it uses technical and societal knowledge, and how it develops an attractive proposition. This is achieved through developing linkages and partnerships with those having the necessary capabilities""",1292251522,978-1292251523,Hoboken Pearson
Best practice : process innovation management,"Technological innovations  Management. Industrial management. Organizational effectiveness. Technische Innovation Vernieuwing. Management. Procesbeheersing. AufsatzsammlungUnderstanding innovation from cradle to grave  Brian Cumming Market orientation for superior competitiveness Sattam Alshammri Idea generation : creative problem-solving and innovation Richard Duggan Innovation by design  Myfanwy Trueman Bringing in and focusing on customer true needs  D.M. Ginn Project management and modern tools of innovation Mohamed Zairi and Pervaiz Ahmed Total supply chain management for innovation  Mohamed Zairi Customer management and development in retailing Patrick Allen Auditing innovation through effective performance management  Mohamed Zairi Being a world-class organization what does it mean Kate Blackmon, Phil Hanson, Chris Voss and Frances Wilson Sustaining a culture of discontinuous innovation Pervaiz Ahmed.",750639539,978-0750639538,Oxford ; Boston : Butterworth-Heinemann
Competitive innovation management : techniques to improve innovation performance,"PART 1: A WIDE RANGE OF TOOLS IMPACT INNOVATION PERFORMANCE The Chemical Residues Story Interpreting the Chemical Residues Story A Framework for Thinking About Innovation PART 2: HOW TO MANAGE AN INNOVATION SYSTEM IMPROVEMENT PROGRAMME Planning and Sequencing Change Different Managers' Roles in Implementing Change Two Common Paths of Innovation System Evolution The Evolution of Idea Generation, Funding and Development Systems The Impact of Industry and Strategy on Innovation System Design PART 3: CONCLUSION AppendicesThis book answers the question of how to improve the innovation performance of large companies. Finally, he discusses how the ideal innovation system differs across industries and how managers should take industry differences into account as they work to improve their innovation systems.",333800524,978-0333800522,Houndmills : Macmillan
