title ,description ,ISBN10,ISBN13,publisher 
Strategic marketing management : planning and control. Planning and control.,"Marketing Study and teaching. Strategic planning Study and teaching.This companion is written to complement the recommended core texts recommended in the syllabus for this module: Strategic marketing - planning & control (2nd ed) by Drummond and Ensor, Marketing strategy and competitive positioning (2nd ed) by Hooley, Saunders & Piercy, and Strategic marketing management (5th ed) by Aaker",902130889,978-0902130883,Cookham : CIM Pub.
Perspectives on strategic marketing management,"Marketing  Management. Management Marketing Kongress Kongress. Management. Marketing.Section 1. Introducing strategic marketing management Article 1. The strategic marketing management process Article 2. Analytical techniques for strategic marketing management: PIMS and The Boston Consulting Groups Perspectives Section 2. Corporate strategic planning Article 3. Piercing future fog in the executive suite  BusinessWeek Article 4. Strategy: formulation, implementation, and monitoring  Kalman J. Cohen and Richard M. Cyert Article 5. Can strategic planning pay off Louis V. Gerstner, Jr. Article 6. Making strategic planning work  Harold Koontz Section 3. Strategic marketing planning Article 7. The foundations of marketing strategy Harper W. Boyd, Jr. and Jean-Claude Larréché Article 8. A strategic perspective on product planning George S. Day Article 9. The marketing audit comes of age Philip Kotler, William Gregor, and Wiliam Rodgers Article 10. Market structure profile analysis and strategic growth opportunities John A. Weber Article 11. Market share strategy and corporate profitability  Barrie James Article 12. Market share strategy and the product life cycle  Bernard Catry and Michael Chevalier Article 13. Planning gains in market share  C. Davis Fogg Article 14. Harvesting strategies for weak products Philip Kotler Section 4. Stragetic marketing management tasks Article 15. Issues and advances in segmentation research  Yoram Wind Article 16. Targeting prospects for a new product  Philip Kotler and Gerald Zaltman Article 17. New emphases in product planning and strategy development David S. Hopkins Article 18. Planning product line strategy: a matrix approach Yoram Wind and Henry J. Claycamp Article 19. Pricing policies for new products  Joel Dean Article 20. Price-cost planning C. Davis Fogg and Kent H. Kohnken Article 21. Functional spin-off: a key to anticipating change in distribution structure Bruce Mallen Article 22. Reseller strategies and the financial performance of the firm Bert C. McCammon, Jr. Article 23. An attitudinal framework for advertising strategy Harper W. Boyd, Jr., Michael L.Ray and Edward C. Strong Article 24. Manage your sales force as a system Porter Henry Article 25. A strategic framework for marketing control  James M. Hulbert and Norman E. Toy Article 26. Marketing cost analysis: a modularized contribution approach Patrick M. Dunne and Harry I. Wolk Section 5. Strategic response to change Article 27. Strategic remarketing: the preferred response to shortages and inflation Philip Kotler and V. Balachandran Article 28. Marketing when the growth slows  BusinessWeek Article 29. Contingency planning for product recall  Roger A. Kerin and Michael Harvey Article 30. Strategic windows Derek F. Abell Article 31. Cure for strategic malnutrition  Frederick W. Gluck, Richard N. Foster and John L. Forbis.",205067220,978-0205067220,"Boston : Allyn and Bacon, Inc."
Strategic sales and strategic marketing,"Sales management. Industrial marketing. Business planning.1. Strategic sales and strategic marketing - Nikala Lane2. Searching for strategy in sales - Nikala Lane3. Strategic alignment for sales organization transformation - Raymond W. LaForge, Thomas N. Ingram and David W. Cravens4. Developing a strategic framework of key account performance - Eli Jones, Keith A. Richards, Diane Halstead and Frank Q. Fu5. The implications of lean operations for sales strategy: from sales-force to marketing-force - Niall Piercy and Nick Rich6. An enterprise-wide strategic stakeholder approach to sales ethics - Linda Ferrell and O.C. Ferrell7. Strategic sales organizations: transformation challenges and facilitators within the sales - marketing interface - Avinash Malshe 8. Collaboration between sales and marketing, market orientation and business performance in business-to-business organisations - Kenneth Le Meunier-FitzHugh and Nikala Lane9. Strategizing the sales organization - Nikala Lane and Nigel Piercy",1138879363,978-1138879362,London : Routledge
Marketing,"Marketing. MarketingThe goal of the 15th edition of Marketing is to create an exceptional experience for today's students and instructors of marketing. The development of Marketing was based on a rigorous process of assessment, and the outcome of the process is a text and package of learning tools that are based on engagement, leadership, and innovation in marketing educationPart 1 Initiating the Marketing Process 1 CREATING CUSTOMER RELATIONSHIPS AND VALUE THROUGH MARKETING At Chobani, Marketing Is All Natural! Creating an Exceptional Product Connecting with Customers Chobani Today Chobani, Marketing, and You What Is Marketing Marketing and Your Career Marketing: Delivering Value to Customers The Diverse Elements Influencing Marketing Actions What Is Needed for Marketing to Occur How Marketing Discovers and Satisfies Consumer Needs Discovering Consumer Needs The Challenge: Meeting Consumer Needs with New Products Satisfying Consumer Needs The Marketing Program: How Customer Relationships Are Built Relationship Marketing: Easy to Understand, Hard to Do The Marketing Program and Market Segments 3M's Strategy and Marketing Program to Help Students Study How Marketing Became So Important Evolution toward a Market Orientation Focusing on Customer Relationship Management Ethics and Social Responsibility in Marketing: Balancing the Interests of Different Groups The Breadth and Depth of Marketing Learning Objectives Review Learning Review Answers Focusing on Key Terms Applying Marketing Knowledge Building Your Marketing Plan Video Case 1: Chobani Making Greek Yogurt a Household Name 2 DEVELOPING SUCCESSFUL ORGANIZATIONAL AND MARKETING STRATEGIES Peace, Love, and Ice Cream Today's Organizations Kinds of Organizations What Is Strategy Making Responsible Decisions: New Types of Organizations Help Entrepreneurs Focus on Passion and Purpose The Structure of Today's Organizations Strategy in Visionary Organizations Organizational Foundation: Why Does It Exist Organizational Direction: What Will It Do Organizational Strategies: How Will It Do It Tracking Strategic Performance with Marketing Analytics Applying Marketing Metrics: How Well Is Ben & Jerry's DoingSetting Strategic Directions A Look Around: Where Are We NowGrowth Strategies: Where Do We Want to Go Marketing Matters: Filling the Shoes of Apple CEO Tim Cook: Where Will Apple's Projected Future Growth for Its Major SBUs Come FromThe Strategic Marketing Process Principles Underlying the Strategic Marketing Process The Planning Phase of the Strategic Marketing Process The Implementation Phase of the Strategic Marketing Process The Evaluation Phase of the Strategic Marketing Process Learning Objectives Review Learning Review Answers Focusing on Key Terms Applying Marketing Knowledge Building Your Marketing Plan",1260590518,978-1260590517,"New York, NY : McGraw-Hill Education"
Strategic marketing and management,"Marketing  Congresses. Marketing  Management Congresses. Marketing Congrès. Marketing Gestion  Congrès. Marketing stratégique Congrès. Marketing. Marketing Management. Strategisch management. Marketing Strategische Planung Strategisches Management Unternehmensplanung KongressPapers presented at a conference co-sponsored by the Marketing Education Division of the American Marketing Association and the Dept. of Business Administration, College of Commerce and Business Administration at the University of Illinois at Urbana-Champaign, held May 10-11, 1982 at the university.",471904236,978-0471904236,Chichester [West Sussex] ; New York : Wiley
Strategic marketing : an applied perspective,"Marketing Management. Marketing. Strategische planning.Karel Jan Alsem creates a clear and understandable process for exploring each step of strategic marketing. This is done through a four part organization: evaluation, analysis, planning, and implementation. This flexible, yet thorough presentation allows strategic marketing to be understood and applied, while it builds confidence by explaining strategies with clarity and relevant background 1 The strategic marketing planning process 2. Mission, value strategies, and market definition 3. Internal analysis 4. Customer analysis 5. Industry analysis 6. Competitor analysis 7. Analysis of distribution and suppliers 8. From analysis to strategy 9. Corporate objectives and corporate strategies 10. Marketing objectives and marketing strategies 11. Objectives and strategies for marketing instruments 12. Organization and implementation of marketing.",73025860,978-0073025865,Boston : McGraw-Hill
How to Develop a Strategic Marketing Plan : a Step-By-Step Guide.,"Part PART I: STRATEGIC SECTION chapter 1 The Strategic Marketing Plan part PART II: TACTICAL SECTION chapter 2 The Strategic Marketing Plan part PART III: THE STRATEGIC MARKETING PLAN IN ACTION chapter 3 Marketing Problem Solver part PART IV: CHECKLISTS FOR DEVELOPING COMPETITIVE STRATEGIES chapter 4 Checklists for Developing Competitive Strategies part PART V: HELP TOPICS chapter 5 Help Topics.Two-thirds of rapid-growth firms use written business plans, according to Price, Waterhouse, Coopers 1998 Trendsetter Barometer. The survey also states that firms with written plans grow faster, achieve a higher proportion of revenues from new products and services, and enable CEOs to manage more critical business functions. How to Develop a Strategic Marketing Plan is both innovative and pragmatic in its approach. It explains how to combine the strategic vision of long-term business planning with the action-oriented thrust of a short-term marketing plan. Planning forms and guidelines for customizing your own Strategic Market Plan SMP are available for download from the CRC Press website. Just go to the download tab located with the book's description. Actual case histories - from companies such as Campbell Soup, Co., Texas Instruments, Inc., and Quaker State Corp. illustrate how business-building opportunities translate into strategies and tactics. They demonstrate the compelling relationship between internal organizational functions and external market conditions, the long- and short-term strategic marketing issues and the advantages of developing an SMP. Strategic market planning shapes the future of business. In its broadest dimension it sets in motion actions that impact long term prosperity. How to Develop a Strategic Marketing Plan gives you the tools to generate a credible strategic marketing plan so your organization can survive in the 21st century.",203719204,978-0203719206,London : Taylor and Francis
Strategic marketing,"Marketing Management. Strategic planning.For highly applied undergraduate and graduate marketing management or strategy courses. An all-purpose approach to strategic marketing management. Because strategic marketing is the essential marketing activity, Mooradian provides students with a highly applied decision-making framework and exploration of the tools that can be used to solve marketing problems.",1292020563,978-1292020563,"Upper Saddle River, N.J. ; Harlow : Pearson Education,"
Analysis for strategic marketing,"Marketing. Marktforschung. Strategische Planung. Strategisches Management. Marketing1. The Role of Analysis in Strategy Formulation. 2. Segmenting Markets: Who Are the Potential Buyers? 3. Identifying Unmet Needs: What Do the Customers Want? 4. Identifying Competitors: Whom Will We Compete Against? 5. Understanding and Forecasting the External Environment: Demographic, Social, Economic, and Political Factors. 6. Understanding and Forecasting the Market Environment: Technological Factors and Forecasting. 7. Analyzing Competitive Advantage: How to Compete? 8. Resource Allocation Methods 9. Actual Case Examples: Analyses in Action. Proving modern scientific marketing methods for a strategic marketing course, this book adds analysis and research tools to traditional marketing material. It also ties aspects of strategic marketing and marketing research together",321001982,978-0321001986,"Reading, Mass. Addison-Wesley"
Strategic marketing,"Management strategic MarketingDiscusses the concepts and processes for gaining the competitive advantage in the marketplace. This book is designed around the marketing strategy process with emphasis on analysis, planning, and implementation. It uses a decision-making process to examine the key concepts and issues involved in analyzing and selecting strategiesPart 1: Strategic MarketingChapter 1 Imperatives for Market-Driven Strategy Appendix 1A Strategic Marketing Planning Cases for Part ICase 1-1 AudiCase 1-2 The New York Times.Case 1-3 Coca-Cola Co.Part II: Markets, Segments and Customer ValueChapter 2 Markets And Competitive Space Appendix 2A Financial Analysis for Marketing Planning and ControlChapter 3 Strategic Market Segmentation Chapter 4 Strategic Customer Relationship ManagementChapter 5 Capabilities For Learning About Customers and MarketsCases for Part IICase 2-1 Pfizer Inc.Case 2-2 Ikea Case 2-3 China and India: Opportunities and ChallengesCase 2-4 Johnson & Johnson Part III: Designing Market-Driven StrategiesChapter 6 Market Targeting and Strategic PositioningChapter 7 Strategic Relationships Chapter 8 Innovation and New Product StrategyCases for Part IIICase 3-1 Walt Disney Co.Case 3-2 Intel Corp.Case 3-3 McDonald'sCase 3-4 Tesco PLCPart IV: Market-Driven Program DevelopmentChapter 9 Strategic Brand ManagementChapter 10Value Chain StrategyChapter 11 Pricing Strategy Chapter 12Promotion, Advertising and Sales Promotion StrategiesChapter 13Sales Force, Internet and Direct Marketing StrategiesCases for Part IVCase 4-1 Microsoft Corp. (A).Case 4-2 Nike Inc.Case 4-3 Dell Inc.Case 4-4 Hewlett-Packard Co.Part V: Implementing and Managing Market-Driven StrategiesChapter 14Designing Market-Driven OrganizationsChapter 15Marketing Strategy Implementation and Control Appendix 15A Marketing MetricsCases for Part VCase 5-1 Verizon Communications Inc.Case 5-2 Home Depot Inc.Case 5-3 Yahoo! Inc. Case 5-4 Nissan Motor Co.Part VI: Comprehensive CasesCase 6-1 Microsoft Corp. (B)Case 6-2 Samsung ElectronicsCase 6-3 General Electric AppliancesCase 6-4 SlendertoneCase 6-5 ToyotaCase 6-6 Coca-Cola (B)Case 6-7 Keurig Inc.Case 6-8 Dura-Plast, Inc.Case 6-9 Wal-MartCase 6-10 Blair Water Purifiers IndiaCase 6-11 Murphy Brewery Ireland, LimitedCase 6-12 Dairyland Seed CompanyCase 6-13 International Business MachinesCase 6-14 L'Oreal Nederland B.VCase 6-15 ESPNCase 6-16 Cowgirl ChocolatesCase 6-17 Procter & Gamble Co.Case 6-18 Amazon.com Inc.Case 6-19 Nanophase Technologies CorporationCase 6-20 Cola Wars in ChinaCase 6-21 Smith & Nephew---InnovexCase 6-22 Sun Microsystems (B)Case 6-23 Telus MobilityCase 6-24 Tri-Cities Community BankCase 6-25 Cima Mountaineering Inc.",71263357,978-0071263351,Boston : McGraw-Hill Irwin
