title ,description ,ISBN10,ISBN13,publisher
Modern Research Methodology,COVER; PREFACE; CONTENTS; INTRODUCTION; RESEARCH METHODS; RESEARCH REPORT; TESTS OF SIGNIFICANCE AND HYPOTHESIS; 360 DEGREE FEEDBACK RESEARCH APPRAISAL SYSTEM; PRESENTATION OF RESEARCH DATA; MEASURES OF CENTRAL TENDENCY; ELEMENTARY LOGIC; MAXIMA AND MINIMA; STATISTICAL QUALITY CONTROL; DECISION MAKING UNDER UNCERTAINTY; COMPETITIVE STRATEGIES; INTERPOLATION AND EXTRAPOLATION; IMPORTANT METHODS OF INTERPOLATION AND EXTRAPOLATION; INDEX NUMBERS; CORRELATION; PROBABILITY,9350437007,978-9350437001,New Delhi : Paradise Publishers
ESSAYS ON RESEARCH METHODOLOGY,Chapter 1. Introduction.- Chapter 2. Knowledge Claims - Approaches & Perspectives Chapter 3. Logical and Epistemological Norms in Scientific Theory Construction. Chapter 4. Problem Formulation.- Chapter 5. Systems Approach and Soft Systems Methodology of Organization and Management Studies.- Chapter 6. Qualitative Research and its Application in Organisational Management and Social Research.- Chapter 7. On the Role and Significance of Contextualization in Economic Research.- Chapter 8. On using experimental designs.- Chapter 9. Questionnaire Design for Survey Based Research.- Chapter 10. Ethics In Research With Special Reference To Social Sciences.,8132229541,978-8132229544,"SPRINGER, INDIA, PRIVATE"
Business Research Methodology : Research Process and Methods,"Executives  Training of. Business Data processing.Strategic planning. Leadership. Research Methodology. Leadership Informatique. 
",3030768570,978-3030768577,"Cham : Springer International Publishing, Imprint Springer"
Research methodology : business and management contexts,"Part 1. Introduction. The nature and process of business research Approaches to business research: key philosophical issues and differences The nature of quantitative and qualitative research Mixed methods research: breaking the divide between quantitative and qualitative approaches Part 2. Main steps in research. Project planning: research designs Getting started: Becoming familiar with the literature Formulating a research proposal: choosing a topic, reviewing the literature and developing research questions Ethics in business research Writing up research Part 3. Data gathering methods. Sampling Surveys and questionnaires  Interviews and focus groups Ethnography, action research and observation Secondary data collection and content analysis Part 4. Data analysis methods. Qualitative data analysis Quantitative data analysis Appendix A. Grammar and language style Appendix B. Recycling in enclosed residential developments.Research Methodology: Business and Management Contexts 2e provides students with a clear conceptual framework for conducting research in a step-by-step manner. While the textbook is pragmatic in its approach and acknowledges the South African context, it also equips students with different research traditions and methods. The textbook based on a widely respected international title follows a problem-solving approach, which is suitable to current global and local business environments.",190745339,978-0190745332,Oxford University Press Southern Africa (Pty) Ltd
Introducing research methodology : thinking your way through your research project,"Part I: Orientation Chapter 1: Why Social Research Chapter 2: Worldviews in Social Research Chapter 3: Ethical Issues in Social Research Chapter 4: From Research Idea to Research Question Part II: Planning and Design Chapter 5: Reading and Reviewing the Literature Chapter 6: Steps in the Research Process Chapter 7: Designing Social Research Part III: Method Selection Chapter 8: Deciding on Your Methods Chapter 9: Triangulation and Mixed Methods Part IV: Working with Data Chapter 10: Using Existing Data Chapter 11: Collecting Data Chapter 12: Analyzing Data Part V: Reflection and Writing Chapter 13: What is Good Research? Evaluating Your Research Project
Chapter 14: Writing up Research and Using ResultsPart I: OrientationChapter 1: Why Social Research?Chapter 2: Worldviews in Social ResearchChapter 3: Ethical Issues in Social ResearchChapter 4: From Research Idea to Research QuestionPart II: Planning and DesignChapter 5: Reading and Reviewing the LiteratureChapter 6: Steps in the Research ProcessChapter 7: Designing Social ResearchPart III: Method SelectionChapter 8: Deciding on Your MethodsChapter 9: Triangulation and Mixed MethodsPart IV: Working with DataChapter 10: Using Existing DataChapter 11: Collecting DataChapter 12: Analyzing DataPart V: Reflection and WritingChapter 13: What is Good Research? Evaluating Your Research ProjectChapter 14: Writing up Research and Using Results",1529717345,978-1529717341,Los Angeles : SAGE
Introducing research methodology : a beginner's guide to doing a research project,"PART ONE: ORIENTATION Why Social Research From Research Idea to Research Question Reading and Reviewing the Literature PART TWO: PLANNING AND DESIGN Planning Social Research: Steps of the Research Process Designing Social Research Deciding Your Methods PART THREE: WORKING WITH DATA Gathering Data: Quantitative and Qualitative Approaches Analyzing Quantitative and Qualitative Data E-Research: Doing Social Research Online Integrated Social Research: Combination of Different Approaches PART FOUR: REFLECTION AND WRITING What Is Good Research? Evaluating Your Research Project Ethical Issues in Social Research Writing Research and Using Results.Introducing Research Methodology' gives readers the fundamental data collection and analysis skills that they need for their first project, as well as a good understanding of the research process as a whole.",1849207801,978-1849207805,Los Angeles : Sage
Research methodology : a practical and scientific approach,"1. Introduction to Research. Literature Survey and Problem Statement3. Research Design[Prachi Joshi]4. Basic Instrumentation5. Applied Statistics 6. Presenting and Publishing the Research Findings 7. Plagiarism[Mousami V. Munot, Sesha S. Srinivasan, and Anand S. Bhosle]8. Intellectual Property Rights[Dipali Kasat, Rajeev Kumar, and Shailaja Patil]This book offers a design research methodology intended to improve the quality of design research- its academic credibility, industrial significance and societal contribution by enabling more thorough, efficient and effective procedures.",1351013254,978-1351013253,Taylor and Francis Group
Research methodology,"1. The Aims of the Research ; 2. The Research Topic, Title, and Research Problem ; 3. Literature Review ; 4. Research Design: Population and Sampling Types ; 5. Types of Quantitative Research Designs ; 6. Validity of Conclusions ; 7. Data-Collecting Methods and Measuring Instruments in Quantitative Research ; 8. Qualitative Research Design ; 9. Data Analysis and Interpretation of Results ; 10. Report Writing ; 11. The Research ProposalServes as a practical guide to conducting research for students in a range of fields. This work uses practical learning outcomes and includes a CD providing exercises in statistics.",195789016,978-0195789010,Capetown : Oxford University Press
The concise APA handbook : APA 7th edition,"Psychology Authorship Style manuals. Social sciences Authorship Style manuals. English language Style Handbooks, manuals, etc. Psychologie Art d'écrire Codes typographiques. Sciences social Codes typographiques.  English language Authorship. Social sciences Authorship.Most students struggle with learning how to find references, use them effectively, and cite them appropriately in a required format. One of the most common formats is that of APA. The authors all have vast experience teaching writing courses to various levels of students from undergraduates to graduates in other countries. However, there was lacking a book that could explain the basics of APA in simple, easy-to-understand language for non-native speakers of English, who are often unfamiliar with using references and formatting an essay in a particular method. In order to offer English Learner student writers a source of information that is appropriate for their level, and is cost-effective, this updated APA 7th edition guidebook provides students with important information in clear, concise, user-friendly language, as well as to offer practical examples that will help them grasp the concept of secondary research writing. Much of the published materials on the market targets native speakers of English. The problem with this is that they present the nitpicky details of APA in ways that do not make sense to native speakers of English, let alone to those for whom English is not their first language, because the information is presented in very technical terms that are not easy to understand. This handbook presents the same information in simplified terms with images and step-by-step instructions in ways that make sense to both native and non-native English speaking student writers. Additionally, student writers often struggle with understanding the concept of plagiarism, as well as how to find sources, evaluate the appropriateness of sources, and use sources in effective ways (e.g., how to integrate quotes, when to paraphrase, among others). This book provides this important information that is concise and easy to understand.",1648021832,978-1648021831,"Charlotte, NC : Information Age Publishing, Inc."
"Educational research : quantitative, qualitative, and mixed approaches","Part I. Introduction. Introduction to Educational Research ; Quantitative, Qualitative, and Mixed Research ; Action Research for Lifelong Learning Part II. Planning the Research Study. How to Review the Literature and Develop Research Questions ; How to Write a Research Proposal ; Research Ethics Part III. Foundations of Research. Standardized Measurement and Assessment ; Methods of Data Collection in Quantitative, Qualitative, and Mixed Research ; How to Construct a Questionnaire ; Sampling in Quantitative, Qualitative, and Mixed Research ; Validity of Research Results in Quantitative, Qualitative, and Mixed Research Part IV. Selecting a Research Method. Section A. Quantitative Research Methods: Five Major Approaches ; Experimental Research: Weak and Strong Designs ; Experimental research: Quasi and Single-Case Designs ; Nonexperimental Quantitative Research. Section B. Qualitative Research Methods: Five Major Approaches ; Narrative inquiry and case study research ; Phenomenology, Ethnography, and Grounded Theory. Section C. Mixed Methods Research: Many approaches ; Mixed Research Part V. Analyzing the Data. Descriptive Statistics ; Inferential Statistics ; Data Analysis in Qualitative and Mixed Research Part VI. Writing the Research Report ; How to Prepare a Research Report and Use APA Style Guidelines ; Appendix: Citations for Journal Articles Noted in the Margins.Educational Research: Quantitative, Qualitative, and Mixed Approaches by R. Burke Johnson and Larry Christensen offers a comprehensive, easily digestible introduction to research methods for undergraduate and graduate students. Readers will develop an understanding of the multiple research methods and strategies used in education and related fields, including how to read and critically evaluate published research and how to write a proposal, construct a questionnaire, and conduct an empirical research study on their own. With the support of this highly readable text, readers will transform into critical consumers and users of research",1544337833,978-1544337838,"Thousand Oaks, California : SAGE Publications, Inc."
